POKEMON TROZEI!;74;7.3;DS;Nintendo;Genius Sonority Inc.;Mar 6, 2006;(Also known as "Pokemon Link") Using the stylus, slide Pokemon puzzle pieces and line up four in a row (horizontally or vertically) to make a "Trozei" and clear the screen. Find a line up over 380 Pokemon puzzle pieces to complete your Trozei list. Battle or cooperate wirelessly with… Expand;32 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching
INAZUMA ELEVEN 2: FIRESTORM;74;8.3;DS;Nintendo;Level 5;Mar 16, 2012;null;19 ;Sports,General
NEED FOR SPEED PROSTREET;74;7.1;DS;EA Games;Exient Entertainment;Nov 13, 2007;Need for Speed ProStreet accelerates street racing culture by providing the ultimate stage for the pursuit of street racing supremacy. It is a game about building the ultimate performance-tuned battle machine, taking it to multi-disciplinary showdowns all over the world and pitting your… Expand;8 ;Driving,Racing,Simulation,GT / Street,GT / Street,Automobile
CALL OF DUTY: BLACK OPS;74;6.6;DS;Activision;n-Space;Nov 9, 2010;Call of Duty: Black Ops for the Nintendo DS will feature six-player online multiplayer mode with a new Perks System, as well as a unique two-player Co-Op mode and Arcade and Challenge Modes that allow gamers to replay the single-player missions to earn extra points to unlock additional achievements.;13 ;Action,Shooter,Shooter,First-Person,Historic,Tactical,Historic,Arcade
VALKYRIE PROFILE: COVENANT OF THE PLUME;74;7.3;DS;Square Enix;Tri-Ace;Mar 16, 2009;The third entry in the Valkyrie Profile series. Wylfred was but a boy when the valkyrie claimed his father's soul and sealed his family's fate. In the agony of the aftermath the boy swore revenge, and now for the man, the time has come to reap it. To the valiant she comes, and so to the… Expand;35 ;Strategy,Turn-Based,Fantasy,Fantasy,Tactics
INAZUMA ELEVEN 2: BLIZZARD;74;8.4;DS;Nintendo;Level 5;Mar 16, 2012;null;15 ;Sports,General
INAZUMA ELEVEN;74;7.9;DS;Nintendo;Level 5;Aug 26, 2011;Inazuma Eleven is a sports game for the Nintendo DS that combines football, RPG elements, strategy and plenty of action!;11 ;Sports,Traditional,Soccer,Arcade
99BULLETS;74;tbd;DS;EnjoyUp Games;Arc System Works;May 23, 2011;99Bullets, a fun space shooter with retro look, where lose a bullet is lose a live and lose a life is lose a bullet. The galaxy IRATA 2601 is threatened by Black Eye and his minions, V-99 is raedy to stop him with his 99 bullets.;8 ;Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical
ZOONIES - ESCAPE FROM MAKATU;74;tbd;DS;Kiloo;Kiloo;Aug 18, 2011;The player beats enemies, solves intricate puzzles and avoids dangerous traps on his way through the jungle. Zoonies is a thrilling game for all audiences with plenty of innovative gameplay challenges. The game features creative physics, 3D real time graphics, 4 different worlds, 20 levels,… Expand;8 ;Action,Platformer,Platformer,2D,2D
METEOS: DISNEY MAGIC;74;6.6;DS;Buena Vista Games ;Q Entertainment;Feb 20, 2007;Meteos: Disney Magic combines the superb puzzle gameplay of the original version with beloved Disney brands. Featuring an original story within the classic Disney universe, players are asked to help Jiminy Cricket and Tinker Bell in their quest to re-organize the famous Disney storybook… Expand;36 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching
BIG BRAIN ACADEMY;74;7.5;DS;Nintendo;Nintendo;Jun 5, 2006;(Also known as "Brain Flex") Big Brain Academy features 15 activities that test their brain powers in areas like logic, memory, math and analysis. Up to eight people can play with a single game card, and each activity takes less than a minute to complete.;45 ;Miscellaneous,Edutainment,Edutainment
DRONE TACTICS;74;7.4;DS;Atlus;Success;May 12, 2008;Transported to an alien world, you find yourself in the middle of a great conflict. An army of evil Drones is on the march, threatening to obliterate the land of Cimexus. Its inhabitants now turn to you to lead them in battle against the Black Swarm. Each level offers new challenges, and… Expand;12 ;Strategy,Turn-Based,Sci-Fi,Sci-Fi,General
SONIC CHRONICLES: THE DARK BROTHERHOOD;74;6.9;DS;Sega;BioWare;Sep 30, 2008;Sonic and friends have banded together with leading RPG developer BioWare to create a stylish blend of strategy and speed for Sonic's first RPG, Sonic Chronicles: The Dark Brotherhood. The game mixes a rich story, hand-painted visuals, fast-paced team combat, and wireless collectible trading… Expand;55 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
BOMBERMAN LAND TOUCH! 2;74;7.2;DS;Hudson Entertainment;Hudson Soft;Jan 29, 2008;Bomberman Land Touch! 2 brings together 3 exciting game modes into one. The series introduces a bevy of mini-games, where most can be played in multiplayer mode. The PSP system and the DS versions both allow gamers to share one game cartridge and network with friends to create the ultimate… Expand;21 ;Miscellaneous,Puzzle,Action,Puzzle,Puzzle,General,Action
CUSTOM ROBO ARENA;74;8.3;DS;Nintendo;Noise Inc.;Mar 19, 2007;Custom Robo: The sport of tomorrow. In the not-too-distant future, competitors battle customized robot warriors in holographic battle arenas. Victory is determined not only by fighting skill but also by how well Robo Commanders design their robot gladiators, so players need both brawn and… Expand;22 ;Action,Fighting,Fighting,3D,3D
PUZZLE QUEST 2;74;5.8;DS;D3Publisher;Infinite Interactive;Jun 22, 2010;Featuring a hallmark blend of match-3 gem matching and fantasy, Puzzle Quest 2 offers a captivating, rewarding, and accessible journey for players of all skill levels as they make their way to reclaim the once peaceful village of Verloren from the evil clutch of the demon Gorgon. Get closer… Expand;27 ;Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action
NEW INTERNATIONAL TRACK & FIELD;73;6.8;DS;Konami;Sumo Digital;Jul 22, 2008;The classic sporting game series of Track and Field celebrates its' 25th Anniversary by coming to the Nintendo DS. All the excitement and fun of the original titles is brought up to date with a bright and stylish new look, more events and online play. The gameplay was developed to take full… Expand;27 ;Sports,Olympic Sports,Olympic Sports,Individual,Athletics
PUCHI PUCHI VIRUS;73;6.3;DS;NIS America;Jaleco Entertainment;May 20, 2009;Puchi Puchi Virus does not resemble the ordinary puzzle game. The usual "object drop" style was replaced with a more intuitive system of "object linkage". Its simple design and surprisingly in-depth game play can addict even the most demanding puzzle game enthusiasts. The object is to form… Expand;17 ;Action,General,General
LUMINOUS ARC 2;73;7.8;DS;Atlus;Image Epoch;Nov 18, 2008;For most of the past four millennia, peace has reigned over the Kingdom of Carnava. "The Grand Kingdom" has flourished due to its close cooperation with the Witches of the Rev Magic Association and the ever-present usage of magic. Unfortunately, the era of peace has come to an end. Fatima,… Expand;19 ;Role-Playing,Strategy,Turn-Based,General,General,Tactics
MY SPANISH COACH;73;tbd;DS;Ubisoft;Ubisoft;Nov 6, 2007;Playing My Spanish Coach for 15 to 20 minutes a day is all you need to become fluent in Spanish. Other Features include: 8 touchpad mini-games to sharpen your mastery of the language at your own pace. Track your progress with charts showing your performance learning the language. Simple… Expand;7 ;Miscellaneous,Edutainment,Edutainment
YOSHI TOUCH & GO;73;6.8;DS;Nintendo;Nintendo;Mar 14, 2005;Yoshi and Baby Mario embark on another wild adventure, this time on the Nintendo DS. Using the Nintendo DS system's two screens and touch-screen capability, you'll have to help Yoshi guard Baby Mario and guide him to safety. On vertical-action levels, players must use the stylus to draw… Expand;41 ;Action,Platformer,Platformer,2D,2D
VIEWTIFUL JOE: DOUBLE TROUBLE!;73;7.5;DS;Capcom;Clover Studio;Nov 18, 2005;In Viewtiful Joe: Double Trouble an action-movie hero's work is never done! During an on-location shoot of Captain Blue's latest movie, a new sinister group literally steals the show and it’s up to our not-so-average Joe to reclaim it. Using the Nintendo DS dual screens, gamers help Joe… Expand;28 ;Action,Beat-'Em-Up,Beat-'Em-Up,2D
ULTIMATE MORTAL KOMBAT;73;8.3;DS;Midway;Other Ocean Interactive;Nov 12, 2007;Ultimate Mortal Kombat combines the visceral thrills of the classic "Ultimate Mortal Kombat 3" and the addictive puzzle action of the Puzzle Kombat component of Midway’s best-selling "Mortal Kombat: Deception" in a single DS-friendly package. With new record-keeping capability, and Nintendo… Expand;26 ;Action,Fighting,Fighting,2D,2D
CRASH OF THE TITANS;73;6.9;DS;Sierra Entertainment;Amaze Entertainment;Oct 25, 2007;In Crash of the Titans, players fight a nefarious plot hatched by Crash's arch nemeses Neo and Nina Cortex to mutate the local creatures into titanic abominations. Using Crash's legendary mix of outrageous antics and daredevil bravado, players "hijack" enemies to take control of their action… Expand;8 ;Action,Platformer,General,3D
PRISM: LIGHT THE WAY;73;tbd;DS;Eidos Interactive;Game Sauce;Oct 17, 2007;The Truly Brilliant Puzzle Game. Color the light, split the light, bounce and bend the light to create the one illuminating pattern that solves all. Solve 120 unique puzzles increasing in complexity and difficulty. Infinite Puzzle mode serves up and endless stream of fresh challenges.… Expand;21 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
KUNG FU PANDA: LEGENDARY WARRIORS;73;tbd;DS;Activision;Artificial Mind and Movement;Nov 5, 2008;Po, Monkey, Tigress and Shifu (Po and Tigress only on DS) return in an all-new action-packed journey to protect the Valley of Peace from Tai Lung and his minions. Utilizing motion and gesture-based controls gamers perform acrobatic jump attacks, wield weapons against foes and unleash… Expand;7 ;Action,General,General
POLARIUM;73;8.4;DS;Nintendo;Mitchell;Apr 18, 2005;(Known in Japan as "Chokkan Hitofude") Polarium mixes way-cool gameplay with an electronica soundtrack for the trippiest experience yet on the DS. It's the first game that would look cool at a rave. The object is to make room for tiles falling from the top screen by clearing rows of tiles… Expand;34 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,Stacking,General
YU-GI-OH! 5D'S STARDUST ACCELERATOR: WORLD CHAMPIONSHIP 2009;73;7.7;DS;Konami;Konami;May 19, 2009;In Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009, players can experience the most robust offering in the World Championship franchise to date with up to 2,800 playable cards. The title features multiple gameplay modes including Story Mode, where players journey from Satellite… Expand;8 ;Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle
SPIDER-MAN: SHATTERED DIMENSIONS;73;7.9;DS;Activision;Griptonite Games;Sep 7, 2010;Swing your way into action to help restore reality with your friendly neighborhood Spiderman.;13 ;Action,Action Adventure,Adventure,Beat-'Em-Up,General,Open-World,Third-Person,Fantasy,3D,Fantasy
DIRT 2;73;tbd;DS;Codemasters;Firebrand Games;Sep 8, 2009;(Also known as "Colin McRae: DiRT 2" in the UK/EU) DiRT 2 takes racing games to a new level with thrilling new race types, striking locations, big event atmosphere, and a peerless line-up of super-charged speed machines, each selected to deliver spectacular, fast-paced racing. Taking… Expand;7 ;Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile
SUMMON NIGHT: TWIN AGE;73;7.2;DS;Atlus;Flight-Plan;Jun 3, 2008;From a very young age, the human girl Reiha displayed great aptitude for the magical art of Summoning. While still a child, her powers caused a terrible accident during a major Summoning experiment. It was reported that Reiha had died as result, but she survived, along with a young Summon… Expand;21 ;Role-Playing,Action RPG,Action RPG
SUPER ROBOT TAISEN OG SAGA: ENDLESS FRONTIER;73;8.3;DS;Atlus;Monolith Soft;Apr 29, 2009;Super Robot Taisen OG Saga: Endless Frontier is a unique sci-fi/fantasy RPG that takes players across a variety of worlds, ranging from an apocalyptic wasteland covered with the hulks of downed spaceships to a fantastical place of fairy tales and dark magic. Join Haken Browning: gunslinger,… Expand;22 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
CALL OF DUTY: MODERN WARFARE - MOBILIZED;73;7.2;DS;Activision;n-Space;Nov 10, 2009;Call of Duty: Modern Warfare: Mobilized delivers an arsenal of cutting-edge weaponry, vehicles and tactics, arming players with precision controls for battle across the world's most dangerous hotspots. Gamers fight on the ground in intense building-to-building tactical combat, hack into… Expand;28 ;Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade
STAR WARS EPISODE III: REVENGE OF THE SITH;73;7.8;DS;Ubisoft;Ubisoft;May 4, 2005;Star Wars Episode III: Revenge of the Sith delivers the ultimate Jedi action experience as Anakin Skywalker and Obi-Wan Kenobi join forces in fierce battles and heroic lightsaber duels until one’s lust for power and the other’s devotion to duty leads to a final confrontation between good and… Expand;22 ;Action Adventure,Sci-Fi,Sci-Fi,General
GLORY DAYS 2;73;7.3;DS;Eidos Interactive;odenis studio;Aug 6, 2007;(Also known as "Glory Days 2: Brotherhood of Men") The sequel to the GBA's award-winning Glory Days promises even more intense action than the first, as well as up to eight-way wireless multiplayer options.;28 ;Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical
YU-GI-OH! NIGHTMARE TROUBADOUR;73;8.1;DS;Konami;Konami;Aug 30, 2005;Yu-Gi-Oh! Nightmare Troubadour brings a new round of dueling action to the Nintendo DS. Utilizing the unique features of the Nintendo DS, players experience the world of Yu-Gi-Oh! on two screens with touch pad controls. Watch monsters rise up from their cards and battle it out on the top… Expand;10 ;Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle
DRAGON BALL Z: ATTACK OF THE SAIYANS;73;8.2;DS;Namco Bandai Games;Monolith Soft;Nov 10, 2009;The game follows the Saiyan Saga of the original DBZ story starting from the World Tournament and Goku's triumphant defeat of Piccolo. Players take the role of Goku and travel the DBZ universe from jungle to Snow Mountain on their quest to victory. Dragon Ball Z: Attack of the Saiyans… Expand;21 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
DRAWN TO LIFE;73;7.9;DS;THQ;5TH Cell;Sep 10, 2007;Drawn to Life takes players to the next level of interaction and creativity on the Nintendo DS. Your exact drawings populate the game, and no tedious animating or image manipulation is necessary. In other words, your drawing comes to life. Rebuild a small village with your stylus, drawing… Expand;34 ;Action Adventure,Adventure,General,General,Sandbox
THE SIMS 3;73;6.2;DS;Electronic Arts;Exient Entertainment;Oct 26, 2010;With The Sims 3 for consoles and handheld, create Sims with unique personalities, fulfill their desires...or not, and control their lives within a living neighborhood. Customize your Sims’ appearance and choose up to five traits to create individual personalities. From the “Romantic” trait… Expand;9 ;Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life
CONTACT;73;8.2;DS;Atlus;Grasshopper Manufacture;Oct 19, 2006;The klaxon alarm is shrieking! Something is wrong! The Professor wrestles his damaged spaceship to a crash landing on a mysterious planet. In the aftermath of the crash, The Professor discovers that the power sources of his ship, known as Cells, have been scattered across the surface of this… Expand;36 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
BROTHERS IN ARMS DS;72;8.1;DS;Ubisoft;Gameloft;Jun 21, 2007;(Also known as "Brothers in Arms: War Stories") Brothers In Arms DS brings all the action and strategy of the series to a handheld, utilizing the DS Touch Screen to control the squad. Exclusively designed for Nintendo DS with easy-to-use, stylus-based controls such as using the Touch Screen… Expand;27 ;Action,General,General,Shooter,Third-Person,Arcade
HARVEST MOON: FRANTIC FARMING;72;6.3;DS;Natsume;Natsume;Aug 25, 2009;Something strange is happening on Sunny Island. Crops are popping up everywhere and growing out of control. If something isn't done soon, the once-tranquil island will be buried in an avalanche of vegetables. It's up to you to solve the mystery of this produce predicament as you try to tame… Expand;7 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
FRONT MISSION;72;7.4;DS;Square Enix;Square Enix;Oct 23, 2007;Discover the origins of the Front Mission series in this explosive handheld saga that was never before localized for North America. Reborn exclusively on the Nintendo DS. Front Mission introduces new features, such as dual screen presentation and multiplayer modes, that update the classic… Expand;19 ;Strategy,Turn-Based,Sci-Fi,Sci-Fi,Tactics
DEMENTIUM: THE WARD;72;7.9;DS;Gamecock Media Group;Renegade Kid;Oct 26, 2007;Dementium: The Ward tells the tale of a man who awakens to find himself alone in a mysterious, derelict hospital that is frozen in time. Confronted by the deadly, grotesque surgical experiments that wander the halls, a series of challenging puzzles and a cast of peculiar characters, he must… Expand;48 ;Action,Action Adventure,Shooter,Horror,Horror,Survival,First-Person,Modern
THEME PARK;72;7.6;DS;EA Games;EA Japan Studio;Mar 20, 2007;Become a Theme Park expert with guidance from your hand-picked Advisor. Fill your park with willing workers, then encourage their efforts with speed-boosting stylus taps. Assign handymen to make your park a destination to visit and add entertainers to amuse demanding customers. Start your… Expand;15 ;Strategy,Tycoon,Management,Tycoon,Business / Tycoon
MARIO PARTY DS;72;7.9;DS;Nintendo;Hudson Soft;Nov 19, 2007;You'd think years of defeat would get to a guy, but Bowser just doesn't give up! He's captured Mario and his friends in his pursuit of a crystal that the group collected when it fell from the sky, and he doesn't hesitate to shrink them to miniature size to get rid of them and get his hands… Expand;27 ;Miscellaneous,Party,Party,Party / Minigame
BOING! DOCOMODAKE DS;72;tbd;DS;Ignition Entertainment;Suzak;Mar 10, 2009;Dig and climb your way through puzzle based levels in Boing! Docomodake.;34 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
LEGO HARRY POTTER: YEARS 1-4;72;7.6;DS;Warner Bros. Interactive Entertainment;TT Fusion;Jun 29, 2010;Build the adventure from Privet Drive to the Triwizard Tournament and experience the fun of the first four Harry Potter stories – Lego style. Explore Hogwarts School of Witchcraft and Wizardry, learn spells, brew potions and relive the adventures with tongue-in-cheek humor and creative… Expand;7 ;Action Adventure,Fantasy,General,Fantasy,Linear
JUICED 2: HOT IMPORT NIGHTS;72;tbd;DS;THQ;Juice Games;Sep 17, 2007;Juiced 2: HIN evolves the current street racing scene, letting players experience the culture of the real-life HIN tour, the nation's largest lifestyle custom car show in an intense racing experience. Featuring track and drift racing at real-world locations around the globe, next-gen AI and… Expand;7 ;Driving,Racing,Simulation,GT / Street,GT / Street,Automobile
GO! GO! KOKOPOLO;72;tbd;DS;Room 4 Games Limited;Tanukii Studios;Aug 11, 2011;Get ready for a brand new experience in arcade action - the worlds first Chase ‘em up! Take control of Kokopolo, the hyperactive wildcat, in a crazy, fast and frantic, action-packed caper set across 80 stages of pure arcade mayhem. Hunt down those responsible for disturbing your afternoon… Expand;7 ;Action,General,Platformer,2D
DRAWN TO LIFE: THE NEXT CHAPTER;72;7.8;DS;THQ;5TH Cell;Oct 27, 2009;In Drawn to Life: The Next Chapter for Nintendo DS, players draw their own heroes, be it humans, animals or multi-limbed creatures, and embark on a brand new adventure aboard a Turtle Ship to defeat the evil Wilfre and restore color to the Raposa civilization. Players have the ability to… Expand;21 ;Miscellaneous,Action Adventure,Puzzle,Puzzle,General,Puzzle,Sandbox,General
NOSTALGIA;72;7.6;DS;Ignition Entertainment;Matrix Software;Oct 23, 2009;Set in an alternate-reality version of 19th-century Earth, Nostalgia casts you as Eddie, a headstrong Londoner who amasses a group of memorable companions to traverse the world in his steampunk-inspired zeppelin. As you navigate the open skies, you'll explore mysterious foreign locales, slay… Expand;36 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
BIONICLE HEROES;72;6.7;DS;Eidos Interactive;Amaze Entertainment;Nov 14, 2006;Bionicle Heroes brings to life the most powerful and exciting LEGO characters ever seen in one game, in an action-packed world of adventure and discovery. Take control of a young hero as he steps out of the real world and into the strange and dangerous universe of Bionicle. Only by mastering… Expand;11 ;Action,Action Adventure,Shooter,General,Sci-Fi,Shooter,Third-Person,First-Person,Sci-Fi,Arcade
LEGO BATMAN: THE VIDEOGAME;72;8.1;DS;Warner Bros. Interactive Entertainment;TT Fusion;Sep 23, 2008;A stampede of notorious criminals have busted out of Arkham Asylum, where Gotham City houses only the shadiest of characters. It's up to the famed Caped Crusader to sweep Gotham clean of criminal activity using everything at his disposal, including crime-fighting vehicles as well as several… Expand;16 ;Action Adventure,Modern,General,Modern
SKATE IT;72;7.8;DS;Electronic Arts;Exient Entertainment;Nov 19, 2008;Skate It has Nintendo players riding with the skate pros, owning the best spots in San Vanelona and pulling off the sickest tricks using the popular FlickIt controls. Loaded with all-new gameplay features, Skate It breaks new ground by introducing innovative support for the Wii Balance Board… Expand;13 ;Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard
FIFA 07 SOCCER;72;6.2;DS;EA Sports;EA Canada;Oct 3, 2006;FIFA 07 delivers complete authenticity with licenses for all the world's top leagues, including MLS and Mexican 1st Division in North America, and 26 others from over 20 nations. This year, you have the power to shape your club's destiny in the EA Sports Interactive Leagues, a new online… Expand;8 ;Sports,Traditional,Team,Soccer,Sim,Sim
PAC 'N ROLL;72;8.4;DS;Namco;Namco;Aug 23, 2005;In Pac'N Roll, the inhabitants of Pac-World have been turned into spheres by the evil monster Golvis’ Ghost Light. Pac-Man must roll his way through Ghost-Land, collecting pellets and confronting Ghosts to save his family and restore peace to Pac-Land. Introducing an innovative new control… Expand;35 ;Action,Platformer,Platformer,3D,3D
GUITAR HERO: ON TOUR DECADES;72;7.7;DS;Activision;Vicarious Visions;Nov 16, 2008;Guitar Hero On Tour: Decades allows gamers to unleash their inner rockstar anytime, anywhere and for the first time ever share their music with friends as they embark on a tour through the decades of rock. Compatible with Guitar Hero: On Tour, the game leverages the technology of its… Expand;40 ;Action,Miscellaneous,Rhythm,Music,Music
null;null;null;null;null;null;null;null;null;
DODOGO! ROBO;72;tbd;DS;Neko Entertainment;Alien After All;Apr 18, 2011;DodoGo! Robo is a title released exclusively on the DSiWare.;7 ;Action,Platformer,Platformer,2D,2D
ELECTROPLANKTON;71;7.0;DS;Nintendo;indieszero;Jan 9, 2006;Electroplankton is a "touchable media art" game that presents the player with "soothing music" and graphics on the DS's two screens. The game features 10 "digital planktons" that respond to players when they touch the screen or use the microphone. Planktons react by making gestures and… Expand;49 ;Action,Miscellaneous,Rhythm,Music Maker,Music Maker,Application,Music
MOON;71;7.5;DS;Mastiff;Renegade Kid;Jan 13, 2009;Moon is an intense sci-fi, action-adventure title for Nintendo DS. Moon places gamers on the cold lunar surface in the year 2058. Researchers of the newly established Lunar Base Alpha are shocked when they discover a sealed, alien hatch during construction of a new lunar base, but it's a… Expand;45 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
KIRBY: SQUEAK SQUAD;71;8.0;DS;Nintendo;Flagship;Dec 4, 2006;(Also known as "Kirby Mouse Attack" in the UK/EU) Kirby's back and ready for a bellyful of adventure. When someone steals some strawberry shortcake, the pink powerhouse sets out after them, learning new skills. Players can expect all the floating, jumping and battling of a classic Kirby… Expand;29 ;Action,Platformer,Platformer,2D,2D
NANOSTRAY;71;7.7;DS;Majesco Games ;Shin'en;Jul 19, 2005;You slowly come back to life in your spacecraft. It feels like you were unconscious only for seconds. Faded impressions of pain and humiliation dominate your thoughts. Instinctively, you look up at your console. it’s still indicating a destination. Upgradeable weapons and sub-weapons,… Expand;43 ;Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical
MY WORD COACH;71;6.8;DS;Ubisoft;Ubisoft;Nov 6, 2007;Do you ever feel at "loss for words"? Would you like to express yourself more clearly and with confidence? Want to improve your vocabulary in a straightforward and entertaining way? In your daily life, knowing the right word can make all the difference! My Word Coach offers a fun and… Expand;7 ;Miscellaneous,Edutainment,Edutainment
PHANTASY STAR ZERO;71;7.9;DS;Sega;Sonic Team;Nov 10, 2009;Phantasy Star Ø takes place on an alternate Earth 200 years after the Great Blank, a massive war that has reduced the once-prosperous civilization to almost nothing. The sole surviving Humans have worked hard to exist peacefully and have built thriving Cities. The Humans that adventure past… Expand;33 ;Role-Playing,Action RPG,Action RPG
TOUCHMASTER;71;5.7;DS;Midway;Midway Studios - San Diego;Jun 25, 2007;The wide variety of highly interactive mini-games made Midway's Touchmaster a favorite in bars and arcades across the country are will now be available whenever, wherever with Touchmaster DS. The game is a natural fit for the touchscreen and stylus of Nintendo DS, and is perfect for a quick… Expand;19 ;Miscellaneous,Puzzle,Puzzle,General,General
ONTAMARAMA;71;tbd;DS;Atlus;Noise Factory;Nov 6, 2007;Making full use of the Nintendo DS dual screens, touch functionality, and microphone, Ontamarama provides an entertaining level of challenge for novice players, while offering challenging play modes for advanced gamers. Fast reflexes and a keen sense of rhythm are the keys to success in this… Expand;9 ;Action,Miscellaneous,Rhythm,Music,Music
