GUITAR HERO III: LEGENDS OF ROCK;86;7.8;Activision ;Vicarious Visions;Oct 28, 2007;Fire up the fretboard, crank up the amp and get ready to rock like never before. Guitar Hero III: Legends of Rock drops you into the spotlight of the largest and most legendary rock concert ever. The star-studded soundtrack includes master tracks by such legendary artists as Guns N’ Roses,… Expand;36 ;Action,Miscellaneous,Rhythm,Music,Music
TETRIS PARTY;86;7.7;Tetris Online, Inc;Hudson Soft;Oct 20, 2008;[WiiWare] Tetris Party is a deceptively simple, addictive puzzle game that is sure to keep you and all of your friends and family entertained for hours on end. The WiiWare game features 10 never-before-seen single-player and multiplayer variations of Tetris, including Field Climber, Stage… Expand;9 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Stacking,Stacking
TATSUNOKO VS. CAPCOM: ULTIMATE ALL-STARS;85;8.6;Capcom;Eighting;Jan 26, 2010;Capcom's popular and critically acclaimed ‘VS’ fighting series is getting an all new next-generation introduction. Tatsunoko vs. Capcom pits Capcom’s iconic characters against Tatsunoko Productions anime superheroes. This clash of heroes face off in two-on-two battles for the ultimate 2D… Expand;62 ;Action,Fighting,Fighting,2D,2D
MABOSHI'S ARCADE;85;7.9;Nintendo;Mindware;Dec 29, 2008;[WiiWare] - (Also known as "Maboshi's Arcade") This unique arcade action title features three games in one, based on three classic shapes: circle, bar and square. There are three game windows on screen at the same time, allowing for three people to play different games simultaneously. But… Expand;8 ;Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action
SUPER PAPER MARIO;85;8.0;Nintendo;Intelligent Systems;Apr 9, 2007;The newest chapter of the Paper Mario story isn't just out of this world ... it's out of this dimension. What at first glance appears to be a 2-D sidescroller ripped straight from the pages of the Paper Mario universe soon turns into a 3-D action-adventure that defies all video game logic.… Expand;56 ;Action,Role-Playing,Platformer,Platformer,Action RPG,3D,3D
GUITAR HERO: METALLICA;85;8.1;Activision;Neversoft Entertainment;Mar 29, 2009;Guitar Hero: Metallica takes music fans through the band’s fabled library of songs, plus the music and musicians who influence them. When the house lights go down, virtual rock stars across the globe will shred, drum and wail to an explosive set list featuring over 45 tracks from Metallica’s… Expand;20 ;Action,Miscellaneous,Rhythm,Music,Music
BOOM BLOX;85;8.0;Electronic Arts;EA LA;May 6, 2008;Boom Blox is the first game developed in collaboration between EA and director and producer, Steven Spielberg. This high-energy game features over three hundred levels, a variety of activities, a cast of over thirty wacky characters, and an easy-to-use in-game editor that allows players to… Expand;61 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
TIGER WOODS PGA TOUR 12: THE MASTERS;85;6.6;Electronic Arts;Electronic Arts;Mar 29, 2011;For the first time in franchise history, players will be able to step onto the grounds of Augusta National and begin their own journey to capture the most sought-after prize in professional golf - the Green Jacket.;14 ;Sports,Traditional,Individual,Golf,Sim,Sim
TIGER WOODS PGA TOUR 11;84;7.6;Electronic Arts;EA Sports;Jun 8, 2010;One of the most prestigious tournaments in golf, The Ryder Cup, is featured in Tiger Woods PGA TOUR 11. Gamers select a team and square off to try and bring home The Ryder Cup for their squad. The Ryder Cup is one of the last great sporting events to be founded in prestige rather than prize… Expand;29 ;Sports,Traditional,Individual,Golf,Sim,Sim
PRO EVOLUTION SOCCER 2009;84;7.8;Konami;Konami;Mar 17, 2009;Pro Evolution Soccer is back for 2009! The terms "PES" and "Winning Eleven" have always been synonymous with realism and superior gameplay, but this year PES will further narrow the gap between the game, and the real thing! New stadiums, players motions and gameplay modes will bolster a game… Expand;22 ;Sports,Traditional,Team,Soccer,Sim,Sim
MONSTER HUNTER TRI;84;8.5;Capcom;Capcom;Apr 20, 2010;Monster Hunter Tri sets a new bar in the action/adventure genre with the introduction of new features and game play elements as the multi-million unit selling franchise makes its debut on the Wii system. Monster Hunter Tri depicts a living, breathing ecosystem where man co-exists with… Expand;70 ;Role-Playing,Action RPG,Action RPG
NO MORE HEROES 2: DESPERATE STRUGGLE;84;8.8;Ubisoft;Grasshopper Manufacture;Jan 26, 2010;No More Heroes 2: Desperate Struggle continues the tale of punk anti-hero Travis Touchdown, the Japanese anime Otaku, and pro wrestling-obsessed assassin. Travis finds himself at the bottom of the UAA (United Assassins Association) rankings and must wage war to become the No. 1 assassin once… Expand;68 ;Action,Beat-'Em-Up,Beat-'Em-Up,3D
BIT.TRIP COMPLETE;84;8.1;Aksys Games;Gaijin Games;Sep 13, 2011;All six BIT.TRIP games are transformed into 3D, morphing into a single entity called /BIT.TRIP SAGA/. Experience the crushing difficulty of the rhythmic galaxies and ride along the long journey with CommanderVideo as he completes his mission and returns...home.;19 ;Miscellaneous,Compilation,Compilation
SWORDS & SOLDIERS;84;7.6;Ronimo Games;Ronimo Games;Jun 8, 2009;[WiiWare] Swords & Soldiers is a sidescrolling real time strategy game, in which three distinct factions battle for the powers of the gods. The game sfeature a single player campaign and a competitive splitscreen multiplayer mode as well as several other game modes. [Ronimo Games];26 ;Strategy,General,General
