257;General
257;Action RPG
258;Racing
258;Arcade
258;Automobile
259;Action Adventure
259;Sci-Fi
259;Sci-Fi
259;General
260;Action
260;Role-Playing
260;General
261;Action
261;Platformer
261;Platformer
261;3D
261;3D
262;Action
262;Fighting
262;2D
263;Simulation
263;Virtual
263;Career
264;Driving
264;Racing
264;Arcade
264;Futuristic
265;Miscellaneous
265;Puzzle
265;Puzzle
265;Logic
265;Logic
266;Sports
266;Olympic Sports
266;Olympic Sports
266;Individual
266;Athletics
267;Sports
267;Traditional
267;Soccer
267;Arcade
268;Role-Playing
268;First-Person
268;First-Person
268;Western-Style
269;Action
269;General
269;General
270;Driving
270;Racing
270;Simulation
270;GT / Street
270;GT / Street
270;Automobile
271;Action
271;Miscellaneous
271;Rhythm
271;Music
272;Action
272;Action Adventure
272;Horror
272;Horror
272;Shooter
272;Survival
272;Third-Person
272;Tactical
273;Action
273;Platformer
273;2D
274;Action
274;Platformer
274;2D
275;Action
275;Shooter
275;First-Person
275;Arcade
276;Action
276;Fighting
276;Fighting
276;3D
276;3D
277;Simulation
277;Vehicle
277;Combat
278;Puzzle
278;Logic
279;Miscellaneous
279;Puzzle
279;General
280;Miscellaneous
280;Driving
280;Racing
280;General
280;Arcade
280;Arcade
280;Automobile
281;Miscellaneous
281;General
281;General
282;Action
282;Fighting
282;Fighting
282;2D
282;2D
283;Role-Playing
283;General
284;Action
284;Platformer
284;Platformer
284;3D
284;2D
284;3D
285;Strategy
285;Breeding/Constructing
285;General
285;Management
285;Breeding/Constructing
285;Business / Tycoon
286;Action
286;Rhythm
286;Music
287;Driving
287;Racing
287;Arcade
287;Kart
287;Other
287;Kart
287;Automobile
288;Action
288;Shooter
288;Shoot-'Em-Up
288;Top-Down
288;Vertical
289;Action
289;Simulation
289;Flight
289;General
289;Combat
290;Miscellaneous
290;General
290;General
291;Puzzle
291;General
292;Action
292;Beat-'Em-Up
292;3D
293;Role-Playing
293;General
294;Role-Playing
294;Japanese-Style
295;Sports
295;Traditional
295;Individual
295;Golf
295;Arcade
295;Arcade
296;Role-Playing
296;General
296;Trainer
297;Action
297;Platformer
297;2D
297;3D
298;Action
298;Miscellaneous
298;General
298;General
298;Compilation
299;Sports
299;General
300;Action Adventure
300;Modern
300;Modern
300;Open-World
301;Miscellaneous
301;General
301;Application
302;Role-Playing
302;Console-style RPG
302;Console-style RPG
302;Japanese-Style
303;Driving
303;Racing
303;Arcade
303;Kart
303;Kart
303;Automobile
304;Role-Playing
304;Action RPG
304;Console-style RPG
304;Console-style RPG
304;Japanese-Style
305;Action Adventure
305;Fantasy
305;Fantasy
305;Open-World
306;Strategy
306;Turn-Based
306;Modern
306;Modern
306;Tactics
307;Action
307;Role-Playing
307;Platformer
307;Platformer
307;Action RPG
307;2D
307;2D
308;Action
308;Platformer
308;Platformer
308;2D
308;2D
309;Miscellaneous
309;Puzzle
309;Puzzle
309;Puzzle
309;Matching
309;Matching
310;Role-Playing
310;Action RPG
310;Action RPG
311;Role-Playing
311;Console-style RPG
311;Console-style RPG
311;Trainer
312;Role-Playing
312;Console-style RPG
312;Console-style RPG
312;Japanese-Style
313;Role-Playing
313;Console-style RPG
313;Console-style RPG
313;Trainer
314;Action
314;Miscellaneous
314;Rhythm
314;Music
314;Music
315;Action Adventure
315;Fantasy
315;Fantasy
315;Open-World
316;Role-Playing
316;Console-style RPG
316;Console-style RPG
316;Trainer
317;Role-Playing
317;Console-style RPG
317;Console-style RPG
317;Trainer
318;Action
318;Platformer
318;Platformer
318;2D
318;2D
319;Role-Playing
319;General
319;General
320;Role-Playing
320;Console-style RPG
320;Console-style RPG
320;Japanese-Style
321;Miscellaneous
321;Puzzle
321;Puzzle
321;General
321;Puzzle
321;General
322;Simulation
322;Miscellaneous
322;Virtual Life
322;Virtual
322;Virtual Life
323;Miscellaneous
323;Puzzle
323;Puzzle
323;General
323;Puzzle
323;General
324;Strategy
324;Turn-Based
324;Modern
324;Modern
324;Tactics
325;Role-Playing
325;General
325;General
325;Japanese-Style
326;Action
326;Platformer
326;Platformer
326;2D
326;2D
327;Action
327;Role-Playing
327;Platformer
327;Platformer
327;Action RPG
327;2D
327;2D
328;Action
328;Shooter
328;Shooter
328;First-Person
328;Sci-Fi
328;Sci-Fi
328;Arcade
329;Role-Playing
329;Console-style RPG
329;Console-style RPG
329;Trainer
330;Action Adventure
330;Fantasy
330;General
330;Fantasy
331;Miscellaneous
331;Adventure
331;Puzzle
331;Edutainment
331;General
331;Puzzle
331;General
332;Action
332;Platformer
332;Platformer
332;3D
332;3D
333;Role-Playing
333;Console-style RPG
333;Console-style RPG
333;Trainer
334;Role-Playing
334;Console-style RPG
334;Console-style RPG
334;Japanese-Style
335;Action
335;Role-Playing
335;Platformer
335;Platformer
335;Action RPG
335;2D
335;2D
336;Action
336;Shooter
336;Shooter
336;Static
336;Static
336;Shoot-'Em-Up
336;Vertical
337;Miscellaneous
337;Puzzle
337;Action
337;Puzzle
337;Puzzle
337;Action
338;Miscellaneous
338;Puzzle
338;Puzzle
338;Puzzle
338;Stacking
338;Stacking
339;Role-Playing
339;Strategy
339;Turn-Based
339;General
339;General
339;Tactics
340;Miscellaneous
340;Puzzle
340;Puzzle
340;General
340;Puzzle
340;General
341;Action
341;Platformer
341;Platformer
341;2D
341;2D
342;Sports
342;Alternative
342;Individual
342;Skateboarding
342;Skateboarding
342;Skate / Skateboard
343;Role-Playing
343;Console-style RPG
343;Console-style RPG
343;Japanese-Style
344;Adventure
344;General
344;General
345;Action
345;Shooter
345;Shooter
345;Scrolling
345;Scrolling
345;Shoot-'Em-Up
345;Vertical
346;Action
346;Fighting
346;Fighting
346;2D
346;2D
347;Miscellaneous
347;Puzzle
347;Puzzle
347;Puzzle
347;Logic
347;Logic
348;Miscellaneous
348;Board Games
348;Board Games
348;Board / Card Game
348;Party / Minigame
349;Miscellaneous
349;Puzzle
349;Puzzle
349;Puzzle
349;Logic
349;Logic
350;Puzzle
350;Action
350;General
350;General
351;Simulation
351;Miscellaneous
351;Virtual Life
351;Virtual Life
351;Virtual
351;Pet
352;Miscellaneous
352;Puzzle
352;Puzzle
352;Puzzle
352;Matching
352;Matching
353;Miscellaneous
353;Puzzle
353;Puzzle
353;General
353;Puzzle
353;General
354;Simulation
354;Miscellaneous
354;Virtual Life
354;Virtual Life
354;Virtual
354;Pet
355;Action Adventure
355;Fantasy
355;General
