CASTLEVANIA: PORTRAIT OF RUIN;85;8.3;DS;Konami;Konami;Dec 5, 2006;Take control of two heroes, Jonathan Morris, a vampire killer and his close friend Charlotte Orlean, a girl with tremendous magical ability. Amidst the chaos of World War II, two mysterious sisters emerge, working to resurrect Dracula and David and Charlotte are all that stand in their way.… Expand;51 ;Action,Role-Playing,Platformer,Platformer,Action RPG,2D,2D
METROID PRIME: HUNTERS;85;7.9;DS;Nintendo;Nintendo;Mar 20, 2006;Who is the Galaxy's Most Elite Bounty Hunter? Before Metroid Prime Hunters, the answer was easy. Now that six other ferocious bounty hunters have gathered to challenge Samus, the title is up for grabs. Engage in intense four-player deathmatches either locally or against players from around… Expand;54 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
POKEMON PEARL VERSION;85;8.2;DS;Nintendo;Game Freak;Apr 22, 2007;Pokemon Diamond and Pearl are traditional Pokemon RPGs that takes place in a region called Sinnoh. When you set off on your travels, you'll be able to play as either a boy or girl Trainer. Pokemon fans have caught glimpses of Lucario, Munchlax and Weavile in Pokemon movies, and these Pokemon… Expand;39 ;Role-Playing,Console-style RPG,Console-style RPG,Trainer
THE LEGEND OF ZELDA: FOUR SWORDS ANNIVERSARY EDITION;85;7.5;DS;Nintendo;GREZZO;Sep 28, 2011;The Legend of Zelda: Four Swords is a free DSiWare download.;13 ;Action Adventure,Fantasy,General,Fantasy
PROFESSOR LAYTON AND THE CURIOUS VILLAGE;85;8.4;DS;Nintendo;Level 5;Feb 10, 2008;(Also known as "Layton Kyouju no Fushigi na Machi" and "Professor Layton and the Mysterious Village") Marking Level 5's first foray onto the DS, Professor Layton is an old-fashioned point-and-click adventure which requires your use of skills such as reasoning, knowledge and creativity to… Expand;72 ;Miscellaneous,Adventure,Puzzle,Edutainment,General,Puzzle,General
SUPER MARIO 64 DS;85;8.3;DS;Nintendo;Nintendo;Nov 20, 2004;Super Mario 64, the genre-defining Nintendo 64 classic, arrives on the Nintendo DS with all-new features that take full advantage of the new portable system's dual screens, touch screen and wireless multiplayer capability. Play as Mario, Yoshi, Luigi and even Wario. You'll need to use each… Expand;54 ;Action,Platformer,Platformer,3D,3D
POKEMON DIAMOND VERSION;85;8.3;DS;Nintendo;Game Freak;Apr 22, 2007;Pokemon Diamond and Pearl are traditional Pokemon RPGs that takes place in a region called Sinnoh. When you set off on your travels, you'll be able to play as either a boy or girl Trainer. Pokemon fans have caught glimpses of Lucario, Munchlax and Weavile in Pokemon movies, and these Pokemon… Expand;42 ;Role-Playing,Console-style RPG,Console-style RPG,Trainer
FINAL FANTASY IV;85;8.4;DS;Square Enix;Matrix Software;Jul 21, 2008;Four elemental Crystals, each possessing awesome power, lie scattered throughout the realm. However, men are quick to covet things which offer strength, and easily corrupted by the might which they possess. Seduced by the promised power of the Crystals, the kingdom of Baron begins employing… Expand;52 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
CASTLEVANIA: ORDER OF ECCLESIA;85;8.5;DS;Konami;Konami;Oct 21, 2008;The legendary Castlevania series is back in its 3rd installment on the Nintendo DS. This time you play as a member of the Ecclesia, an organization that has sworn to defeat the evil forces of Dracula. Use the brand new Glyph attack system which has more than 100 different combinations to… Expand;46 ;Action,Role-Playing,Platformer,Platformer,Action RPG,2D,2D
SPACE INVADERS EXTREME;85;7.9;DS;Square Enix;Taito Corporation;Jun 17, 2008;New Look: The classic design of the original SPACE INVADERS, now with revamped graphics and new background movies that add to the game’s excitement. New Music: Get in the groove with up-beat techno tunes that are synched to gameplay. New Mini-Games: Experience varied gameplay with mini-games… Expand;41 ;Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Vertical
