Endless Ocean;Single-Player;Polled;Average;Median;Main Story;2;6h 31m;6h 31m;Main + Extras;5;11h 36m;12h 04m;Completionists;2;70h;70h;All PlayStyles;9;23h 27m;12h 04m
WWE SmackDown vs. Raw 2011;Single-Player;Polled;Average;Median;Main Story;13;22h 01m;21h;Main + Extras;6;32h 41m;31h 22m;Completionists;9;59h 11m;50h;All PlayStyles;28;36h 15m;25h
Dragon Ball Z: Budokai Tenkaichi 3;Single-Player;Polled;Average;Median;Main Story;37;13h 05m;12h 12m;Main + Extras;35;24h 07m;22h;Completionists;25;34h 50m;35h;All PlayStyles;97;22h 40m;20h
Tetris Party Deluxe;Single-Player;Polled;Average;Median;Main Story;2;49m;49m;All PlayStyles;2;49m;49m
Mario & Sonic at the Olympic Winter Games;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Deadly Creatures;Single-Player;Polled;Average;Median;Main Story;15;6h 21m;6h 50m;Main + Extras;4;7h 40m;7h 41m;Completionists;2;16h 18m;16h 18m;All PlayStyles;21;7h 33m;7h
LEGO Indiana Jones 2: The Adventure Continues;Single-Player;Polled;Average;Median;Main Story;26;10h 20m;9h 36m;Main + Extras;16;17h 52m;19h 42m;Completionists;48;23h 37m;22h;All PlayStyles;90;18h 45m;19h 27m
Tiger Woods PGA Tour 08;Single-Player;Polled;Average;Median;Main + Extras;1;37h;37h;All PlayStyles;1;37h;37h
Shaun White Snowboarding: World Stage
Mushroom Men: The Spore Wars;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dr. Mario Online RX;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Super Swing Golf
Tiger Woods PGA Tour 07;Single-Player;Polled;Average;Median;Main Story;1;10h;10h;All PlayStyles;1;10h;10h
Shiren the Wanderer;Single-Player;Polled;Average;Median;Main Story;1;14h;14h;All PlayStyles;1;14h;14h
Puzzle Quest: Challenge of the Warlords;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
uDraw Studio;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Mortal Kombat: Armageddon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Star Wars: The Force Unleashed;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Scarface: The World Is Yours;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Spectrobes: Origins;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sega Superstars Tennis;Single-Player;Polled;Average;Median;Main Story;6;7h 40m;7h 45m;Main + Extras;4;7h 46m;8h 12m;Completionists;3;8h 01m;7h;All PlayStyles;13;7h 47m;8h
Tornado Outbreak;Single-Player;Polled;Average;Median;Main Story;3;5h 40m;5h;Main + Extras;2;7h;7h;All PlayStyles;5;6h 12m;6h
DRiiFT Mania;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Star Wars: The Force Unleashed II;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Death Jr.: Root of Evil;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pictionary (1990);Platform;Polled;Main;Main +;100%;Not enough data.;;;;
The Munchables;Single-Player;Polled;Average;Median;Main Story;5;4h 42m;5h 04m;Main + Extras;2;4h 45m;4h 45m;All PlayStyles;7;4h 43m;5h
Super Swing Golf: Season 2
MX vs. ATV Untamed;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Crash: Mind Over Mutant;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
2010 FIFA World Cup South Africa;Single-Player;Polled;Average;Median;Main Story;7;18h 15m;9h;Main + Extras;2;20h;20h;Completionists;1;35h;35h;All PlayStyles;10;20h 17m;14h 30m
FIFA Soccer 12;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Magnetica Twist;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Batman: The Brave and the Bold - The Videogame;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Call of Duty: Modern Warfare 3;Single-Player;Polled;Average;Median;Main Story;875;6h 20m;6h;Main + Extras;203;11h 04m;9h;Completionists;59;54h 55m;27h;All PlayStyles;1.1K;9h 42m;6h 15m
Tomb Raider: Underworld;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Let's TAP;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
LEGO Rock Band;Single-Player;Polled;Average;Median;Main Story;8;9h 04m;7h 30m;Main + Extras;10;25h 16m;25h 30m;Completionists;2;75h;75h;All PlayStyles;20;23h 45m;15h 30m
Thrillville: Off the Rails;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Kore Gang;Single-Player;Polled;Average;Median;Main Story;2;6h 11m;6h 11m;Main + Extras;1;6h 30m;6h 30m;All PlayStyles;3;6h 17m;6h 30m
NASCAR Kart Racing;Single-Player;Polled;Average;Median;Main Story;1;3h 13m;3h 13m;All PlayStyles;1;3h 13m;3h 13m
Jett Rocket;Single-Player;Polled;Average;Median;Main Story;3;2h 58m;3h 12m;Main + Extras;2;4h 11m;4h 11m;Completionists;2;13h 30m;13h 30m;All PlayStyles;7;6h 19m;4h 07m
Rogue Trooper: Quartz Zone Massacre;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Excitebike: World Rally;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Skate It;Single-Player;Polled;Average;Median;Main Story;1;6h;6h;Main + Extras;1;10h;10h;All PlayStyles;2;8h;8h
Block Breaker Deluxe;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Pearl Harbor Trilogy - 1941: Red Sun Rising;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tenchu: Shadow Assassins;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Little League World Series Baseball 2008;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kung Fu Panda;Single-Player;Polled;Average;Median;Main Story;28;5h 07m;5h;Main + Extras;8;7h 18m;7h 40m;Completionists;13;12h 27m;13h 30m;All PlayStyles;49;7h 25m;6h
Prince of Persia: Rival Swords;Single-Player;Polled;Average;Median;Main Story;2;9h 45m;9h 45m;Main + Extras;2;9h 30m;9h 30m;Completionists;1;12h 04m;12h 04m;All PlayStyles;5;10h 07m;10h
Art Style: ROTOHEX;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The King of Fighters Collection: The Orochi Saga;Single-Player;Polled;Average;Median;Main Story;3;4h 03m;2h;All PlayStyles;3;4h 03m;2h
Super Mario All-Stars: 25th Anniversary Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Monopoly (1992);Single-Player;Polled;Average;Median;Main Story;3;36m;30m;Main + Extras;2;50m;50m;Completionists;1;50m;50m;All PlayStyles;6;43m;45m
F1 2009;Single-Player;Polled;Average;Median;Main Story;2;7h 30m;7h 30m;Main + Extras;1;12h 04m;12h 04m;All PlayStyles;3;9h 01m;8h
Speed Racer (1996);Single-Player;Polled;Average;Median;Main Story;1;40m;40m;All PlayStyles;1;40m;40m
Gradius ReBirth;Single-Player;Polled;Average;Median;Main Story;1;41m;41m;All PlayStyles;1;41m;41m
Cars 2: The Video Game;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kororinpa: Marble Mania;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Harry Potter and the Order of the Phoenix;Single-Player;Polled;Average;Median;Main Story;27;9h 38m;10h;Main + Extras;18;12h 43m;12h 11m;Completionists;17;15h 44m;15h;All PlayStyles;62;12h 12m;12h
Harvest Moon: Magical Melody;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
HoopWorld;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tony Hawk's Downhill Jam;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Monsters vs. Aliens;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gyrostarr
